Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species,Naming,Gram,DZ35322,DZ35316,MSA1000,MSA1001,MSA1002,MSA1003,D6300,D6305,D6306,D6310,D6311,D6300_Updated,D6310_Updated
Bacteria,Eubacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Moraxellaceae;D_5__Acinetobacter,N,0,0,0,0,0.05,0.0018,0,0,0,0,0,0,0
Bacteria,Eubacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces odontolyticus,D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Actinomycetales;D_4__Actinomycetaceae;D_5__Actinomyces,P,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Eubacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Allistipes,Alistipes shahii,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Rikenellaceae;D_5__Allistipes,N,0.036609131,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Eubacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Allobacillus,Allobacillus halotolerans,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Bacillaceae;D_5__Allobacillus,A,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Eubacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,Anaerostipes hadrus,D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Anaerostipes,P,0.062639198,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Eubacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Bacillaceae;D_5__Bacillus,P,0,0,0.1,0.0448,0.05,0.018,0,0,0,0,0,0,0
Bacteria,Eubacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Bacillaceae;D_5__Bacillus,P,0,0,0,0,0,0,0.174,0.174,0.174,0.012,0.012,0.194196429,0.012002188
Bacteria,Eubacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus licheniformis,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Bacillaceae;D_5__Bacillus,P,0,0.041791461,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Eubacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides vulgatus,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Bacteroidaceae;D_5__Bacteroides,N,0,0,0,0,0.05,0.0002,0,0,0,0,0,0,0
Bacteria,Eubacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides caccae,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Bacteroidaceae;D_5__Bacteroides,N,0.062639198,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Eubacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Barnesiella,Barnesiella viscericola,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Porphyromonadaceae;D_5__Barnesiella,N,0,0.062687191,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Eubacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium adolescentis,D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Bifidobacterium,P,0,0,0.1,0.0004,0.05,0.0002,0,0,0,0,0,0,0
Bacteria,Eubacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium angulatum,D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Bifidobacterium,P,0.062639198,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Eubacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Bifidobacterium,P,0,0.062687191,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Eubacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Bilophila,Bilophila wadsworthia,D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Desulfovibrionales;D_4__Desulfovibrionaceae;D_5__Bilophila,N,0.023524499,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Eubacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteriaceae,Campylobacter,Campylobacter concisus,D_0__Bacteria;D_1__Proteobacteria;D_2__Epsilonproteobacteria;D_3__Campylobacterales;D_4__Campylobacteriaceae;D_5__Campylobacter,N,0,0.031343595,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Eubacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga sputigena,D_0__Bacteria;D_1__Bacteroidetes;D_2__Flavobacteriia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__Capnocytophaga,N,0,0.005223933,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Eubacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae.1,Clostridium sensu stricto 1,Clostridium beijerinckii,D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Clostridiaceae.1D;D_5__Clostridium,P,0,0,0.1,0.0045,0.05,0.018,0,0,0,0,0,0,0
Bacteria,Eubacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella aerofaciens,D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia;D_3__Coriobacteriales;D_4__Coriobacteriaceae;D_5__Collinsella,P,0.062639198,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Eubacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichidae,Coprobacillus,Coprobacillus cateniformis,D_0__Bacteria;D_1__Firmicutes;D_2__Erysipelotrichia;D_3__Erysipelotrichales;D_4__Erysipelotrichidae;D_5__Coprobacillus,P,0.036609131,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Cryptococcus,Cryptococcus neoformans,D_0__Bacteria;D_1__Basidiomycota;D_2__Tremellomycetes;D_3__Tremellales;D_4__Tremellaceae;D_5__Cryptococcus,Y,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Eubacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes,D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Actinomycetales;D_4__Propionibacteriaceae;D_5__Cutibacterium,P,0,0,0,0,0.05,0.0018,0,0,0,0,0,0,0
Bacteria,Eubacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus radiodurans,D_0__Bacteria;D_1__Deinococcus-Thermus;D_2__Deinococci;D_3__Deinococcales;D_4__Deinococcaceae;D_5__Deinococcus,P,0,0,0.1,0.0004,0.05,0.00002,0,0,0,0,0,0,0
Bacteria,Eubacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Dialister,Dialister pneumosintes,D_0__Bacteria;D_1__Firmicutes;D_2__Negativicutes;D_3__Selenomonadales;D_4__Veillonellaceae;D_5__Dialister,N,0,0.001044787,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Eubacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Eggerthella,Eggerthella lenta,D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia;D_3__Coriobacteriales;D_4__Coriobacteriaceae;D_5__Eggerthella,P,0,0.03663718,0,0,0,0,0,0,0,0,0,0,0
